kreds,gyldige stemmer i alt,gyldige brevstemmer i alt,ugyldige stemmer i alt (1+2),1. ugyldige stemmer afgivet på afstemningsstedet (1a-1n),1a. blanke,1b. andet mærke end kryds i stedet for kryds,1c. helt eller delvist overstreget,1d. kryds i flere partifelter,1e. kryds rækker ind i flere partifelter,1f. kryds ud for ordene uden for partierne,"1g. overstreget, udvisket eller halvt kryds",1h. kryds uden for partifelterne,1i. andre grunde til tvivl om vælgerens stemmafgivning,1j. stemmeseddel ikke udleveret på afstemningsstedet,1k. andet mærke end kryds foruden kryds,1l. anført mere end tre kryds,"1m. stemmeseddel med tegning, på skrift eller klæbning","1n. afm. m. forskell. farver, iturevet mv., andet særpræg",2. ugyldige brevstemmer (2a-2l),2a. blanke,2b. kun navn på ikke opstillet person eller tillige usikker uofficiel bogstavsbetegnelse,2c. kun anført uofficiel bogstavbetegnelse på ét bogstav,2d. kun anført usikker uofficiel bogstavbetegnelse på flere bogstaver,2e. kun anført kryds,"2f. modstrid vedrørende bogstavbetegnelse, partinavn, personnavn",2g. andre grunde til tvivl om vælgers stemmeafgivning,2h. andet eller mere end én stemmeseddel i konvolutten,2i. stemmeseddel ikke tilvejebragt af ministeren,2j. konvolut med påskrift eller påklæbning,"2k. stemmeseddel med tegning, påskrift eller påklæbning","2l. udfyldt på bagsiden, iturevet mv., andet særpræg",ikke i betragtning tagne brevstemmer (3a-3g),3a. afsenderen var ikke opført på valglisten,3b. afsenderen var død inden valgdagen,3c. yderkuverten indeholdt flere end ét følgebrev og én konvolut,3d. stemmematerialet var ikke det af ministeren tilvejebragte,3e. den foreskrevne fremgangsmåde ved stemmeafgivning har ikke været fulgt,3f. brevstemmen var ikke afgivet indenfor de i loven nævnte frister,3g. vælgeren har afgivet mere end en brevstemme,for sent modtagne brevstemmer,antal vælgere
Øster Ulslev,2390,186,32,26,18,1,0,1,1,0,2,0,0,0,3,0,0,0,6,2,1,1,0,1,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2771
Nørre Alslev,1923,155,18,17,12,1,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2381
Nørre Vedby,1002,68,15,14,12,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1296
Eskilstrup,2001,148,29,28,22,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2526
Sakskøbing,1432,69,20,19,15,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1796
Majbølle,1679,103,21,21,16,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2069
Våbensted,3507,245,46,37,28,0,0,2,0,0,0,0,0,0,4,1,2,0,9,3,0,0,0,1,0,4,0,0,0,1,0,..,..,..,..,..,..,..,..,..,4573
Stubbekøbing,1011,52,13,11,9,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1275
Horreby,724,37,9,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,933
Idestrup,2356,171,39,36,24,3,0,2,1,0,0,0,0,0,2,0,3,1,3,0,2,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2981
Væggerløse,1999,91,33,29,24,2,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,..,..,..,..,..,..,..,..,..,2463
