kreds,gyldige stemmer i alt,gyldige brevstemmer i alt,ugyldige stemmer i alt (1+2),1. ugyldige stemmer afgivet på afstemningsstedet (1a-1n),1a. blanke,1b. andet mærke end kryds i stedet for kryds,1c. helt eller delvist overstreget,1d. kryds i flere partifelter,1e. kryds rækker ind i flere partifelter,1f. kryds ud for ordene uden for partierne,"1g. overstreget, udvisket eller halvt kryds",1h. kryds uden for partifelterne,1i. andre grunde til tvivl om vælgerens stemmafgivning,1j. stemmeseddel ikke udleveret på afstemningsstedet,1k. andet mærke end kryds foruden kryds,1l. anført mere end tre kryds,"1m. stemmeseddel med tegning, på skrift eller klæbning","1n. afm. m. forskell. farver, iturevet mv., andet særpræg",2. ugyldige brevstemmer (2a-2l),2a. blanke,2b. kun navn på ikke opstillet person eller tillige usikker uofficiel bogstavsbetegnelse,2c. kun anført uofficiel bogstavbetegnelse på ét bogstav,2d. kun anført usikker uofficiel bogstavbetegnelse på flere bogstaver,2e. kun anført kryds,"2f. modstrid vedrørende bogstavbetegnelse, partinavn, personnavn",2g. andre grunde til tvivl om vælgers stemmeafgivning,2h. andet eller mere end én stemmeseddel i konvolutten,2i. stemmeseddel ikke tilvejebragt af ministeren,2j. konvolut med påskrift eller påklæbning,"2k. stemmeseddel med tegning, påskrift eller påklæbning","2l. udfyldt på bagsiden, iturevet mv., andet særpræg",ikke i betragtning tagne brevstemmer (3a-3g),3a. afsenderen var ikke opført på valglisten,3b. afsenderen var død inden valgdagen,3c. yderkuverten indeholdt flere end ét følgebrev og én konvolut,3d. stemmematerialet var ikke det af ministeren tilvejebragte,3e. den foreskrevne fremgangsmåde ved stemmeafgivning har ikke været fulgt,3f. brevstemmen var ikke afgivet indenfor de i loven nævnte frister,3g. vælgeren har afgivet mere end en brevstemme,for sent modtagne brevstemmer,antal vælgere
Korsør Søndre Bydel,3468,132,39,35,25,1,0,7,0,0,0,0,0,0,1,0,1,0,4,2,0,0,0,0,1,0,0,1,0,0,0,..,..,..,..,..,..,..,..,..,4222
Korsør Nordre Bydel,48118,3503,508,427,375,1,0,24,3,2,3,5,0,0,1,1,12,0,81,33,6,6,3,6,17,5,0,0,0,5,0,34,0,0,0,5,22,0,7,0,59710
Tårnborg,1062,34,13,12,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1320
Vemmelev,952,51,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1154
Søndermark,1112,74,9,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1315
Rude,1241,51,12,12,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1421
Skælskør Vest,4833,424,53,45,42,0,0,0,0,0,2,1,0,0,0,0,0,0,8,4,0,1,0,0,1,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,5989
Agersø,4082,343,40,33,27,0,0,4,1,1,0,0,0,0,0,0,0,0,7,2,0,0,0,1,1,3,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5371
Boeslunde,1590,82,24,22,19,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1909
Eggeslevmagle,2205,106,21,20,18,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2605
Skælskør Øst,3951,293,48,41,34,0,0,6,0,0,0,0,0,0,0,0,1,0,7,3,0,2,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5070
Magleby,1180,78,16,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1359
Omø,2360,210,28,22,18,0,0,2,0,0,1,1,0,0,0,0,0,0,6,3,0,0,0,1,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2896
Tjæreby,141,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,162
Slagelse Hallen,903,54,13,11,10,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1080
Antvorskov,272,20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,333
Vesthallen,1757,126,12,7,5,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1,1,1,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2188
Nordhallen,319,16,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,386
Vestermose,125,15,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,147
Stillinge,441,19,6,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,528
Havrebjerg,4063,399,69,49,42,0,0,2,1,0,0,0,0,0,0,0,4,0,20,12,3,0,0,0,3,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,5537
FYNS STORKREDS,3448,227,30,26,23,0,0,2,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4229
1. ODENSE ØST,4229,289,42,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5001
Skt. Jørgens Hallen,4726,399,50,42,35,1,0,1,0,0,0,1,0,0,1,1,2,0,8,5,0,0,0,0,2,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,6131
Sct. Hans Skole,881,34,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1022
Risingskolen,1863,146,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2117
Munkebjergskolen,382,7,5,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,440
Ejerslykkeskolen,312542,23253,4099,3591,2875,224,28,118,25,6,33,45,11,1,44,29,138,14,508,197,53,40,10,33,78,30,4,12,2,49,0,169,25,5,0,20,71,8,40,1,374322
Agedrup Skole,42779,3385,695,617,459,71,7,22,6,0,7,15,3,0,8,4,14,1,78,36,4,7,2,3,6,5,3,1,0,11,0,45,0,0,0,1,22,8,14,0,53493
Fjordager-Hallen,7770,714,138,125,98,13,0,3,2,0,0,2,2,0,0,0,5,0,13,9,0,0,0,0,0,1,0,0,0,3,0,..,..,..,..,..,..,..,..,..,9674
Fraugde Fritidscenter,7010,532,91,82,62,14,0,1,1,0,0,2,0,0,0,0,2,0,9,4,1,0,1,0,2,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,8441
Camp U,2450,155,42,39,26,5,1,1,0,0,1,0,0,0,0,2,3,0,3,1,0,0,0,0,0,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,3095
UngOdense (Tidl.Bækholmskolen),6561,489,117,108,91,3,3,1,0,0,1,2,0,0,5,0,1,1,9,5,0,0,0,0,0,3,1,0,0,0,0,..,..,..,..,..,..,..,..,..,7883
2. ODENSE VEST,4299,420,80,65,42,10,2,8,1,0,0,0,0,0,0,1,1,0,15,8,2,1,0,1,0,0,0,1,0,2,0,..,..,..,..,..,..,..,..,..,5644
Seniorhus Odense,1921,86,23,20,16,1,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2189
CSV-Skolen,3733,228,45,38,31,2,0,2,2,0,1,0,0,0,0,0,0,0,7,2,1,3,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,4551
Lumby Skole,2128,91,42,39,35,2,0,1,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2602
Stige Skole,3999,454,63,51,21,13,0,4,0,0,3,8,1,0,0,1,0,0,12,3,0,0,1,2,3,0,2,0,0,1,0,..,..,..,..,..,..,..,..,..,5767
Spurvelundskolen,2908,216,54,50,37,8,0,1,0,0,1,0,0,0,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,3647
Kroggårdsskolen,37542,3309,529,446,348,45,2,13,2,0,2,5,1,0,5,1,22,0,83,27,10,6,1,4,12,4,1,5,0,13,0,30,0,0,0,5,19,0,6,0,44896
Tarup Skole,7978,892,124,111,86,12,1,3,0,0,0,1,0,0,3,0,5,0,13,5,2,0,0,0,1,1,1,0,0,3,0,..,..,..,..,..,..,..,..,..,9561
Paarup Hallen,5713,461,89,71,54,6,0,1,0,0,0,0,0,0,0,1,9,0,18,6,2,1,0,1,2,1,0,1,0,4,0,..,..,..,..,..,..,..,..,..,7461
Korup Skole,763,29,9,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,897
Ubberud Kultur & Bevægelseshus,4203,292,54,48,36,7,1,3,0,0,0,0,0,0,1,0,0,0,6,2,3,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4933
3. ODENSE SYD,2658,257,31,21,18,1,0,1,0,0,0,0,0,0,0,0,1,0,10,4,0,0,1,0,1,1,0,1,0,2,0,..,..,..,..,..,..,..,..,..,3119
Sct. Knuds Gymnasium,4234,390,54,42,36,5,0,0,0,0,0,0,0,0,0,0,1,0,12,5,0,3,0,0,2,0,0,2,0,0,0,..,..,..,..,..,..,..,..,..,4929
Rosengårdskolen,3943,377,55,46,31,7,0,2,0,0,0,2,0,0,0,0,4,0,9,0,0,2,0,1,2,0,0,1,0,3,0,..,..,..,..,..,..,..,..,..,4481
Sanderumhallen,3141,304,49,42,39,3,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3738
Rasmus Rask-Skolen,3030,199,49,45,31,4,0,1,2,0,2,2,1,0,0,0,2,0,4,1,0,0,0,0,2,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,3523
Tingløkkeskolen,1879,108,15,11,9,0,0,1,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2254
Dalumskolen,44895,3903,548,474,383,17,0,13,4,0,5,3,0,0,21,4,22,2,74,35,3,4,1,6,14,4,0,3,0,4,0,46,24,3,0,1,5,0,13,0,52257
Skt. Klemensskolen,8643,1003,116,104,91,2,0,3,0,0,0,0,0,0,4,0,4,0,12,7,0,0,1,1,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,10236
Fangel Forsamlingshus,3791,415,40,34,28,1,0,0,0,0,2,0,0,0,2,1,0,0,6,1,0,0,0,2,2,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4183
Højby Skole,5449,447,79,66,49,3,0,3,2,0,0,0,0,0,4,0,5,0,13,6,0,1,0,2,2,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,6593
4. ASSENS,7162,599,70,56,39,0,0,0,1,0,1,1,0,0,4,2,6,2,14,7,0,0,0,1,4,0,0,1,0,1,0,..,..,..,..,..,..,..,..,..,8303
Assens,3493,225,34,29,25,1,0,0,0,0,0,0,0,0,2,0,1,0,5,1,0,1,0,0,1,0,0,1,0,1,0,..,..,..,..,..,..,..,..,..,3996
Ebberup,4162,352,55,51,46,0,0,1,0,0,0,0,0,0,1,0,3,0,4,2,1,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,4812
Turup,5766,520,69,59,51,1,0,2,0,0,0,2,0,0,1,0,2,0,10,7,2,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,6790
Salbrovad,2306,151,29,26,18,3,0,1,0,0,2,0,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2625
Helnæs,633,35,8,6,2,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,..,..,..,..,..,..,..,..,..,729
Køng,3490,156,48,43,34,5,0,0,1,0,0,0,0,0,3,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3990
Glamsbjerg,25960,1662,339,307,251,9,1,13,2,0,5,4,0,0,2,0,16,4,32,9,3,5,0,4,6,3,0,0,1,1,0,4,0,0,0,2,2,0,0,0,30849
Flemløse,4354,437,53,43,33,0,0,0,1,0,3,3,0,0,0,0,3,0,10,1,0,4,0,1,2,1,0,0,1,0,0,..,..,..,..,..,..,..,..,..,5338
Ørsted,1102,69,17,17,13,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1298
Dreslette,538,36,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,653
Haarby,572,27,10,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,678
Jordløse,170,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,184
Brylle,636,28,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,732
Tommerup,1710,89,24,22,14,2,0,1,0,0,1,1,0,0,2,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1984
Tommerup St,644,27,8,8,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,810
Verninge,311,15,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,373
Nårup,343,14,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,415
Vissenbjerg,567,31,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,628
Aarup,2107,152,17,16,12,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2557
Kerte,444,15,10,10,7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,547
Orte,1135,46,9,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1271
Rørup,1236,64,29,27,22,1,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1467
5. MIDDELFART,1611,104,20,18,17,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1834
Middelfart V,713,53,12,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,875
Middelfart Ø,310,9,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,374
Strib,3850,228,49,46,41,1,0,2,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4543
Hyllehøj,2146,134,34,28,21,0,1,2,0,0,0,0,0,0,0,0,4,0,6,2,1,0,0,1,0,1,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2565
Aulby,445,22,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,531
Nørre Aaby,537,30,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,617
Baaring,479,21,7,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,575
Gelsted,43462,2882,530,448,371,14,7,19,5,1,6,3,0,0,0,2,20,0,82,30,14,5,3,6,13,4,0,1,0,6,0,8,0,1,0,2,3,0,2,1,51542
Brenderup,4450,484,59,37,29,0,0,3,0,0,2,0,0,0,0,1,2,0,22,10,5,1,0,0,3,0,0,0,0,3,0,..,..,..,..,..,..,..,..,..,5315
Fjelsted/Harndrup,4596,389,46,37,34,1,0,2,0,0,0,0,0,0,0,0,0,0,9,6,1,0,0,0,1,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,5297
Bogense,3109,266,33,23,20,1,1,0,0,0,0,0,0,0,0,0,1,0,10,0,3,0,0,4,2,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3428
Klinte,1886,80,25,25,21,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2208
Kongslund,1033,66,15,13,10,0,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1207
Horsebæk,2307,133,41,36,33,1,0,2,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2815
Krogsbølle,1295,36,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1474
Otterup,1831,101,13,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2262
Løkkemark,1699,81,27,23,16,3,2,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,2,0,1,0,0,0,..,..,..,..,..,..,..,..,..,2071
Skovløkke,1649,73,24,22,17,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1988
Veflinge,1005,42,13,13,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1243
Hårslev,2721,192,42,32,19,4,0,1,4,0,0,2,0,0,0,0,2,0,10,4,1,0,2,0,1,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,3295
Morud,590,28,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,717
Særslev,1017,47,12,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1257
6. NYBORG,794,34,9,9,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,963
Mesinge,1344,74,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1610
Kerteminde 1,3308,261,34,30,24,0,0,0,0,0,4,0,0,0,0,0,2,0,4,1,2,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3957
Nymarken,784,36,9,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,961
Marslev,826,33,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,957
Langeskov,902,41,16,16,11,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1057
Munkebo,819,33,10,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,966
Aunslevhallen,1891,108,15,14,12,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2084
Nyborghallen,939,32,8,8,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1143
Bastionen,2667,212,36,29,25,0,0,2,1,0,0,0,0,0,0,0,1,0,7,2,0,2,0,0,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3267
Vindinge Forsamlingshus,35546,2263,447,400,311,32,10,21,1,0,1,5,0,0,5,7,7,0,47,13,9,5,3,5,6,2,0,1,0,3,0,3,0,0,0,1,1,0,1,0,42413
"Langå, Svindinge Og Øksendrup",1404,72,19,18,15,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1620
Ullerslev,4499,412,45,41,34,1,1,5,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5214
Ellinge,1500,79,13,9,5,2,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,1716
Skellerup,1343,50,14,14,11,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1573
Langtved,2847,147,39,36,32,0,2,0,0,0,0,0,0,0,1,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3398
Ørbæk,3674,189,55,53,29,13,5,2,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,4533
Frørup Og Tårup,1142,69,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1329
Ellested Og Herrested,5655,444,85,75,53,11,1,3,0,0,0,2,0,0,3,2,0,0,10,3,1,0,3,2,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,7052
Kullerup Og Refsvindinge,4339,367,56,46,37,0,0,3,0,0,0,1,0,0,0,5,0,0,10,3,2,0,0,1,3,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5146
7. SVENDBORG,1515,102,15,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1788
Nordre,675,34,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,817
Østre,1900,91,23,21,14,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2273
Bregninge,335,7,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,386
Drejø,404,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,460
Egense,621,18,6,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,..,..,..,..,..,..,..,..,..,713
Bjerreby/Landet,1196,85,15,14,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1456
Skårup,944,40,17,15,14,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1083
Thurø,799,24,12,11,9,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,964
Tved,754,26,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,892
Kirkeby,45713,3679,583,508,426,16,0,13,0,3,0,5,6,1,0,8,27,3,75,32,6,4,0,3,16,7,0,1,0,6,0,18,0,1,0,2,14,0,1,0,54907
Ollerup,9152,1077,160,136,123,0,0,3,0,0,0,1,0,0,0,3,5,1,24,10,2,1,0,1,4,4,0,0,0,2,0,..,..,..,..,..,..,..,..,..,11438
Stenstrup,2095,133,36,30,22,1,0,2,0,0,0,0,0,0,0,0,4,1,6,1,2,1,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2672
V.Skerninge,4142,349,59,52,45,0,0,3,0,0,0,0,2,1,0,0,1,0,7,2,0,0,0,1,3,0,0,1,0,0,0,..,..,..,..,..,..,..,..,..,5145
Gudbjerg,2830,266,25,22,18,2,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3186
Gudme,59,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,66
Hesselager,1792,176,15,12,8,2,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,1963
Oure,1397,79,14,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1657
Bagenkop,1791,136,30,26,23,0,0,2,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2065
Humble,2555,202,27,22,18,0,0,1,0,0,0,0,1,0,0,0,2,0,5,3,0,0,0,0,1,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2825
Lindelse,1877,104,18,16,15,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2231
Rudkøbing,899,41,12,12,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1042
Strynø,1448,116,20,14,10,1,0,0,0,0,0,2,0,0,0,0,1,0,6,4,0,1,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1657
