,,1700964,"Grønnevang Skole, Østervang",4175
,,1700965,Lille Lyngby,1301
,,1700966,"Skævinge, Harløse, Strø",2497
,,1700967,Gørløse,919
,,1700968,Uvelse,880
,,1700969,Blistrup,3049
,,1700970,Esbønderup,2041
,,1700971,Valby,379
,,1700972,Græsted,3067
,,1700973,Annisse,1526
,,1700974,Gilleleje,4550
,,1700975,Søborg,1008
,,1700976,Helsinge,4927
,,1700977,Mårum,681
,,1700978,Ramløse,2018
,,1700979,Vejby,1921
,,1700980,Tibirke,1327
,,43,4. FREDERIKSSUND,48261
,,1700981,Frederikssund Midt,4690
,,1700982,Frederikssund Nord,3884
,,1700983,Frederikssund Syd,4249
,,1700984,Skibby,5401
,,1700985,Jægerspris,5481
,,1700986,Slangerup,5138
,,1700987,Hundested,6375
,,1700988,Melby,2698
,,1700989,Enghaven,2543
,,1700990,Frederiksværk,5688
,,1700991,Ølsted,2114
,,44,5. EGEDAL,52301
,,1700992,Værløse,6162
,,1700993,Hareskov,2430
,,1700994,Søndersø,3260
,,1700995,Jonstrup,949
,,1700996,Stavnsholt,3784
,,1700997,Solvang,5415
,,1700998,Paltholm,2795
,,1700999,Ledøje Forsamlingshus,736
,,1701000,Ledøje-Smørum Idrætscenter,6590
,,1701001,Stenløse,4059
,,1701002,Veksø,1272
,,1701003,Ganløse,2410
,,1701004,Slagslunde,1126
,,1701005,Toftehøjskolen,4436
,,1701006,Stengårdsskolen,3988
,,1701007,Bækkegårdsskolen,2889
,,45,6. RUDERSDAL,51784
,,1701008,Blovstrød,2168
,,1701009,Skovvang,3281
,,1701010,Lillerød,3725
,,1701011,Lynge,3386
,,1701012,Ravnsholt,3996
,,1701013,Birkerød,4332
,,1701014,Ny Holte,4409
,,1701015,Nærum,3250
,,1701016,Sjælsø,4720
,,1701017,Skovly,2249
,,1701018,Toftevang,5061
,,1701019,Trørød,3500
,,1701020,Vangebo,2687
,,1701021,Vedbæk,5020
,,13,BORNHOLMS STORKREDS,25283
,,46,1. RØNNE,12497
,,1701022,Klemensker,1625
,,1701023,Rønne,9034
,,1701024,Hasle,1838
,,47,2. AAKIRKEBY,12786
,,1701025,Allinge,2175
,,1701026,Østermarie,1896
,,1701027,Svaneke,1479
,,1701028,Nexø,2808
,,1701029,Pedersker,1100
,,1701030,Aakirkeby,3272
,,1701031,Christiansø,56
,,8,SJÆLLAND-SYDDANMARK,1268335
,,14,SJÆLLANDS STORKREDS,520869
,,48,1. LOLLAND,25032
,,1701032,Errindlev,500
,,1701033,Holeby,1548
,,1701034,Sandby,593
,,1701035,Søllested,1226
,,1701036,Maribo,4178
,,1701037,Askø,43
,,1701038,Østofte,1959
,,1701039,Nakskov Vest,4915
,,1701040,Nakskov Øst,3115
,,1701041,Birket,321
,,1701042,Fejø,332
,,1701043,Femø,92
,,1701044,Horslunde,1455
,,1701045,Dannemare,1638
,,1701046,Rødby,2202
,,1701047,Rødbyhavn,915
,,49,2. GULDBORGSUND,37975
,,1701048,Byen,2788
,,1701049,Østerbro,2481
,,1701050,Lindeskov,2286
,,1701051,Ejegod,2755
,,1701052,Kraghave,1789
,,1701053,Toreby,1182
,,1701054,Sundby,2390
,,1701055,Nysted,1923
,,1701056,Øster Ulslev,1002
,,1701057,Nørre Alslev,2001
,,1701058,Nørre Vedby,1432
,,1701059,Eskilstrup,1679
,,1701060,Sakskøbing,3507
,,1701061,Majbølle,1011
,,1701062,Våbensted,724
,,1701063,Stubbekøbing,2356
,,1701064,Horreby,1999
,,1701065,Idestrup,1290
,,1701066,Væggerløse,2521
,,1701067,Gedser,859
,,50,3. VORDINGBORG,29292
,,1701068,Vordingborg,3428
,,1701069,Masnedsund,2724
,,1701070,Nyråd,1984
,,1701071,Kastrup,1695
,,1701072,Bårse,769
,,1701073,Lundby,2370
,,1701074,Ørslev,1318
,,1701075,Stege,3552
,,1701076,Østmøn,1046
,,1701077,Vestmøn,1484
,,1701078,Bogø,830
,,1701079,Præstø,2774
,,1701080,Allerslev,801
,,1701081,Jungshoved,554
,,1701082,Mern,1206
,,1701083,Kalvehave,1407
,,1701084,Stensved,1350
,,51,4. NÆSTVED,51690
,,1701085,Fuglebjerg,2757
,,1701086,Everdrup,667
,,1701087,Grønbro Hallen,1275
,,1701088,Fladså Hallen,1711
,,1701089,Tybjerg,625
,,1701090,Tappernøje,1632
,,1701091,Hammer - Vester Egesborg,1041
,,1701092,Fensmark,3232
,,1701093,Holme-Olstrup,977
,,1701094,Toksværd,1051
,,1701095,Glumsø,2111
,,1701096,Sandby,344
,,1701097,Skelby,407
,,1701098,Herlufmagle,2078
,,1701099,Lille Næstved Skole - Karrebæk,3108
,,1701100,Grønnegades Kaserne,2475
,,1701101,Ellebækskolen - Kildemark,3404
,,1701102,Arena Næstved,3873
,,1701103,Kobberbakkeskolen - Sct. Jørge,4132
,,1701104,Ellebækskolen - Kalbyris,2207
,,1701105,Lille Næstved Skole - Herlufsh,2332
,,1701106,Herlufsholmhallen,3730
,,1701107,Kobberbakkeskolen - Sydby,2795
,,1701108,Kobberbakkeskolen - Rønnebæk,591
,,1701109,Lille Næstved Skole - Hyllinge,1206
,,1701110,Lille Næstved Skole - Karrebæk,1929
,,52,5. FAXE,37233
,,1701111,Haslev 01,4597
,,1701112,Haslev 02,5054
,,1701113,Faxe,2954
,,1701114,Hylleholt,2680
,,1701115,Karise,2727
,,1701116,Dalby,2305
,,1701117,Rønnede,2291
,,1701118,Hårlevhallen,3644
,,1701119,Strøbyhallen,4799
,,1701120,Stevnshallen,3639
,,1701121,Sydstevnshallen,2543
,,53,6. KØGE,55707
,,1701122,Køge By - Midt,3243
,,1701123,Køge By - Vest,3553
,,1701124,Lellinge,637
,,1701125,Højelse / Lille Skensved,1397
,,1701126,Ølby,3290
,,1701127,Ølsemagle,2691
,,1701128,Herfølge,2108
,,1701129,Alkestrup,874
,,1701130,Hastrup,3610
,,1701131,Køge By - Nord,3328
,,1701132,Herfølge - Syd,2172
,,1701133,Borup,3900
,,1701134,Ejby,2509
,,1701135,Gørslev,847
,,1701136,Bjæverskov,2229
,,1701137,Vemmedrup,1159
,,1701138,Hyllinge-Lyndby,2695
,,1701139,Rye,1723
,,1701140,Sæby-Gershøj,1137
,,1701141,Sonnerup,965
,,1701142,Glim,825
,,1701143,Hvalsø,3092
,,1701144,Kr.Såby,1918
,,1701145,Gevninge,1932
,,1701146,Lejre,1838
,,1701147,Osted,2035
,,54,7. GREVE,44912
,,1701148,Arenaskolen,2399
,,1701149,Krogårdskolen,4608
,,1701150,Holmeagerskolen,6555
,,1701151,Mosedeskolen,3419
,,1701152,Karlslunde Hallerne,5612
,,1701153,Tune Hallerne,4597
,,1701154,Hundige Hallen,3167
,,1701155,Havdrup Idrætscenter,3039
,,1701156,Munkekærhallen,5166
,,1701157,Solrød Idrætscenter,6350
,,55,8. ROSKILDE,55622
,,1701158,Roskilde Bymidte,3759
,,1701159,Klostermarken,4001
,,1701160,Sankt Jørgen,5254
,,1701161,Hedegårdene,3075
,,1701162,Østervang,4301
,,1701163,Himmelev,5276
,,1701164,Svogerslev,3032
,,1701165,Vindinge,1684
,,1701166,Vor Frue,818
,,1701167,Æblehaven,4200
,,1701168,Gundsølille,2281
,,1701169,Jyllinge,4257
,,1701170,Gundsømagle,1957
,,1701171,Baunehøj,2374
,,1701172,Gadstrup,1579
,,1701173,Viby,2864
,,1701174,Snoldelev,718
,,1701175,Dåstrup,1088
,,1701176,Trekroner,3104
,,56,9. HOLBÆK,43964
,,1701177,Holbæk Øst,6301
,,1701178,Holbæk Vest,5845
,,1701179,Holbæk Midt,3810
,,1701180,Vipperød,2707
,,1701181,Tuse,2923
,,1701182,Udby,1574
,,1701183,Tølløse,3209
,,1701184,St. Merløse,2221
,,1701185,Regstrup,2615
,,1701186,Undløse,2062
,,1701187,Jyderup,3120
,,1701188,Mørkøv,2596
,,1701189,Svinninge,2172
,,1701190,Gislinge,2167
,,1701191,Orø,642
,,57,10. KALUNDBORG,51732
,,1701192,Asnæs,2678
,,1701193,Fårevejle,2473
,,1701194,Grevinge,1609
,,1701195,Hørve,2047
,,1701196,Odden,935
,,1701197,Vig,2053
,,1701198,Nykøbing,3991
,,1701199,Rørvig,1172
,,1701200,Egebjerg,977
,,1701201,Højby,2413
,,1701202,Lumsås,494
,,1701203,Nr. Asmindrup,663
,,1701204,Snertinge,2169
,,1701205,Sejerø,246
,,1701206,Svebølle,2788
,,1701207,Gørlev,1902
,,1701208,Kr. Helsinge,1211
,,1701209,Reersø,432
,,1701210,Svallerup,842
,,1701211,Ubby,1890
,,1701212,Høng,3160
,,1701213,Buerup,1177
,,1701214,Gierslev,922
,,1701215,Kalundborghallen,2441
,,1701216,Rynkevang,2020
,,1701217,Tømmerup,983
,,1701218,Årby-Rørby,2142
,,1701219,Raklev,2955
,,1701220,Røsnæs,574
,,1701221,Ulshøj,2373
,,58,11. RINGSTED,39592
,,1701222,Ringsted Nørretorv,6739
,,1701223,Bringstrup,511
,,1701224,Gyrstinge,523
,,1701225,Benløse,3563
,,1701226,Haraldsted,889
,,1701227,Ringsted Dagmarskolen,3468
,,1701228,Jystrup,991
,,1701229,Kværkeby,802
,,1701230,Vetterslev,870
,,1701231,Sneslev,449
,,1701232,Nordrup,716
,,1701233,Vigersted,877
,,1701234,Ørslev,541
,,1701235,Dianalund,3521
,,1701236,Ruds Vedby,1206
,,1701237,Alsted Fjenneslev,1180
,,1701238,Sorø,3498
,,1701239,Frederiksberg,3207
,,1701240,Pedersborg,2573
,,1701241,Stenlille,3468
,,59,12. SLAGELSE,48118
,,1701242,Dalmose,1062
,,1701243,Flakkebjerg,952
,,1701244,Slots Bjergby,1112
,,1701245,Sørbymagle,1241
