navn,nummer,dagi_id
Kalundborghallen,12,701032
Rynkevang,13,711468
Tømmerup,14,705658
Årby-Rørby,15,701008
Raklev,16,711460
Røsnæs,17,710188
Ulshøj,18,702328
Ringsted Nørretorv,1,711804
Bringstrup,2,703062
Gyrstinge,3,710656
Benløse,4,703050
Haraldsted,5,711816
Ringsted Dagmarskolen,6,704618
Jystrup,8,710650
Kværkeby,9,709042
Vetterslev,10,706072
Sneslev,11,707472
Nordrup,12,711810
Vigersted,13,704612
Ørslev,14,703056
Dalmose,1,711606
Slots Bjergby,3,701164
Sørbymagle,4,711630
Korsør Søndre Bydel,5,701098
Korsør Nordre Bydel,6,720074
Tårnborg,7,701108
Vemmelev,8,705790
Søndermark,9,702758
Rude,10,705710
Skælskør Vest,11,707224
Agersø,12,704408
Boeslunde,13,710288
Skælskør Øst,15,701170
Omø,17,704418
Slagelse Hallen,19,705804
Antvorskov,20,711616
Vesthallen,21,710362
Nordhallen,22,711566
Vestermose,24,705820
Stillinge,25,707240
Hårlevhallen,1,706800
Strøbyhallen,2,706794
Stevnshallen,3,703848
Sydstevnshallen,4,705452
Dianalund,1,705570
Ruds Vedby,2,705564
Alsted Fjenneslev,4,711404
Sorø,5,702234
Frederiksberg,6,711410
Pedersborg,8,700914
Stenlille,10,710022
Hyllinge-Lyndby,1,703440
Rye,2,707756
Sæby-Gershøj,3,703454
Sonnerup,4,706260
Glim,5,712044
Hvalsø,6,707762
Kr.Såby,8,712008
Gevninge,9,706216
Lejre,11,710890
Osted,12,703434
Errindlev,1,708426
Holeby,3,700840
Sandby,8,706762
Søllested,11,706822
Maribo,13,705484
Askø,14,709912
Østofte,19,708456
Nakskov Vest,20,705458
Nakskov Øst,21,705464
Birket,26,706808
Fejø,27,709900
Femø,28,706816
Horslunde,29,703864
Dannemare,35,706746
Rødby,36,702106
Rødbyhavn,37,703882
Fuglebjerg,1,711122
Everdrup,2,707904
Grønbro Hallen,3,712210
Fladså Hallen,4,707910
Tybjerg,5,703660
Tappernøje,6,707924
Hammer - Vester Egesborg,7,711128
Fensmark,8,707918
Holme-Olstrup,9,709726
Toksværd,10,712222
Glumsø,11,703666
Sandby,12,707930
Skelby,13,709720
Herlufmagle,14,705200
Lille Næstved Skole - Karrebækvej,20,701870
Grønnegades Kaserne,21,703654
